"tps","4 nodes","6 nodes","12 nodes","18 nodes","24 nodes"
5,0,0,0,0,0
10,0,0,0,"0",0
15,0,0,0,"0",0
20,0,0,"0",0,15.6
25,0,0,0,2.2,23
30,0,0,2,5.4,35
40,0,0,26.8,22,106.1
50,0,0,105.5,16.9,44.6
