"tps","4 nodes","6 nodes","12 nodes","18 nodes","24 nodes"
5,4.9,4.9,"4.8",4.9,4.9
10,9.5,9.5,"9.5","9.3",8
15,13.9,13.9,"13.9","13.0",9.8
20,17.3,17.2,"14.3",10.1,5.6
25,19.6,18.7,13.6,8.8,14.9
30,19.6,18.7,12.5,9.1,11.2
40,21.1,20.9,12.7,14.4,16.8
50,24.8,20.1,12.6,13,13.4
