"tps","4 nodes","6 nodes","12 nodes","18 nodes","24 nodes"
5,3.8,0,0.2,0,0
10,6.2,0,"0",0.2,4.4
15,7.2,0.1,0.5,3.4,28.8
20,5.8,0.9,4.5,7.8,19.2
25,26.7,3.1,10.1,49.2,119.3
30,25.4,7.8,19.2,22.5,88.2
40,27.9,19.8,41.7,47.4,5.2
50,36.7,50.3,65,46.2,26.7
