"tps","commits","commit rate","reject rate"
5,10856,"4.86",0
10,"10924.3333333333","9.47",0
20,"11006.0","14,35",0
30,"11006.0","17,72",0
40,"10363.0","18.95","0,3"
50,"7854.0","17.41","1.41"
60,6790,"15.33","3,32"
