"tps","4 nodes","6 nodes","12 nodes","18 nodes","24 nodes"
5,11010,11010,"10628",10954,10999
10,11010,11010,"10623","10862",10993
15,11010,11010,"10456","10766",10950
20,11010,11010,"10431",10928,6047
25,11010,11010,10362,10565,7234
30,11010,11010,9770,9251,6690
40,11010,11010,8962,7699,8077
50,11010,11010,8095,7568,8207
