time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test_name,x_scaled
1620811375,1124.8260869565215,30.022644927536227,3.391304347826087,228.4782608695652,142.15,233.95652173913044,3571.434782608696,7.45,20.83500000000004,2.382608695652175,8646.75,2.9717391304347816,6.6,0.0832427536231874,25tps|24_nodes,0.0
1620811385,1147.0833333333337,16.737771739130427,3.354166666666667,229.375,1499.8,235.1458333333333,3738.8125,5.05,21.86500000000001,2.225724637681162,22918.35,3.213541666666663,8.899999999999999,0.0896739130434795,25tps|24_nodes,4.288461538461538
1620811395,1181.5389492753625,23.062137681159427,2.510869565217392,230.6530797101449,957.85,236.78804347826087,3969.433876811594,1.55,21.834999999999944,3.4455615942028888,16402.55,3.930253623188406,3.6,0.1278079710144936,25tps|24_nodes,8.576923076923077
1620811405,1203.5960144927535,20.204528985507224,2.5480072463768115,231.5,988.3,237.68840579710144,4055.891304347826,3.05,21.880000000000017,2.205706521739137,14547.2,3.982835144927537,7.55,0.0846920289855063,25tps|24_nodes,12.865384615384615
1620811415,1230.9565217391305,0.6934782608695514,1.565217391304348,232.3043478260869,820.55,238.69565217391303,4062.8260869565215,3.05,21.93999999999996,2.736050724637687,14231.45,5.0965579710145,7.15,0.0804347826086953,25tps|24_nodes,17.153846153846153
1620811425,1243.4791666666663,9.936141304347824,6.958333333333333,232.85416666666663,1511.65,239.3958333333333,4162.1875,3.85,21.880000000000017,1.2522644927536135,21805.15,4.872599637681162,13.1,0.0549818840579717,25tps|24_nodes,21.442307692307693
1620811435,1285.3333333333337,20.3625,11.208333333333332,234.5833333333333,349.2,241.0,4365.8125,4.05,21.970000000000027,4.185416666666674,5615.35,3.778759057971007,10.2,0.1729166666666657,25tps|24_nodes,25.73076923076923
1620811445,1312.625,12.010416666666677,12.083333333333334,235.3958333333333,224.6,242.0208333333333,4485.916666666666,4.05,21.96999999999998,2.729166666666663,6481.85,4.139583333333337,8.5,0.0812499999999999,25tps|24_nodes,30.01923076923077
1620811455,1332.1666666666663,8.1375,17.25,236.1458333333333,182.25,242.9375,4567.291666666666,1.7,22.00999999999999,1.954166666666663,6146.25,2.8593750000000058,12.4,0.0750000000000013,25tps|24_nodes,34.30769230769231
1620811465,1351.4166666666663,7.7875,23.041666666666668,236.9375,187.75,243.8125,4645.166666666666,1.7,21.99000000000005,1.925,5139.65,2.391666666666663,13.9,0.0791666666666656,25tps|24_nodes,38.59615384615385
1620811475,1385.0625,3.485416666666697,28.604166666666668,238.22916666666663,231.5,245.10416666666663,4680.020833333334,0.65,23.154999999999973,3.364583333333337,4256.8,3.0229166666666627,13.35,0.1291666666666671,25tps|24_nodes,42.88461538461539
1620811485,1439.5625,1.991666666666652,23.083333333333336,239.5625,340.45,246.54166666666663,4699.9375,4.0,22.09000000000001,5.45,5255.05,5.3250000000000055,12.9,0.1333333333333328,25tps|24_nodes,47.17307692307692
1620811495,1493.8541666666667,7.416666666666652,6.6875,240.79166666666663,274.25,247.91666666666663,4774.104166666666,4.0,22.164999999999964,5.429166666666674,8740.650000000001,6.186458333333338,12.8,0.1229166666666657,25tps|24_nodes,51.46153846153846
1620811505,1519.5208333333337,8.358333333333348,7.208333333333333,241.6458333333333,128.8,248.3958333333333,4857.6875,0.0,22.210000000000036,2.566666666666663,9412.15,3.6375,1.25,0.0854166666666671,25tps|24_nodes,55.75
1620811515,1539.4375,6.3125,8.645833333333334,242.2708333333333,152.4,249.0833333333333,4920.8125,2.45,22.184999999999995,1.991666666666663,9637.25,2.060416666666669,3.45,0.0625,25tps|24_nodes,60.03846153846154
1620811525,1578.3958333333337,1.3145833333333483,9.958333333333334,243.3958333333333,215.4,250.1875,4933.958333333334,2.45,22.235000000000035,3.895833333333337,9022.2,3.192708333333332,3.1500000000000004,0.1125,25tps|24_nodes,64.32692307692308
