time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620445180,1126.0,0.5,0.0,196.5,84.0,197.75,0.0,0.3,4.610000000000002,9.75,483.7,7.5625,0.0,0.975,1
1620445190,1221.0,0.025,0.0,206.5,85.6,207.75,0.25,0.0,5.080000000000007,9.5,489.1,12.2625,0.0,1.0,1
1620445200,1313.25,0.275,0.0,216.0,82.4,217.5,3.0,0.0,5.529999999999996,9.225,476.7,12.2,0.0,0.95,1
1620445210,1410.25,0.025,0.0,225.75,85.1,227.0,3.25,0.0,5.979999999999995,9.7,491.1,12.3125,0.0,0.975,1
1620445220,1507.75,0.0,0.0,235.5,85.4,236.5,3.25,0.5,6.429999999999995,9.75,492.6,12.575,0.0,0.975,1
1620445230,1603.25,0.0,0.0,245.0,84.7,246.0,2.75,0.5,6.8900000000000095,9.55,489.2,12.625,0.0,0.95,1
1620445240,1698.0,0.025,0.0,254.5,85.3,255.75,3.0,0.0,7.329999999999996,9.475,494.2,12.675,0.0,0.95,1
1620445250,1792.75,0.025,0.0,264.0,82.9,265.0,3.25,0.2,8.179999999999996,9.475,481.7,12.475,0.0,0.95,1
1620445260,1892.0,0.025,0.0,273.75,87.5,274.75,1.5,0.2,9.13000000000002,9.925,505.4,12.675,0.0,0.975,1
1620445270,1983.5,0.125,0.0,283.0,83.1,284.0,2.75,0.4,9.569999999999984,9.15,483.2,12.75,0.0,0.925,1
1620445280,2080.5,0.025,0.0,292.75,85.3,293.75,3.0,0.0,9.580000000000018,9.7,490.8,12.4875,0.0,0.975,1
1620445290,2176.0,0.2,0.0,303.0,86.3,304.0,5.0,0.0,9.55,9.55,491.2,12.475,0.0,1.025,1
1620445300,2273.5,0.2,0.0,312.75,84.7,313.75,1.0,0.0,9.55,9.75,487.3,12.375,0.0,0.975,1
1620445310,2367.25,0.275,0.0,322.5,83.1,323.5,3.75,0.0,9.529999999999996,9.375,476.9,12.1875,0.0,0.975,1
1620445320,2463.5,0.275,0.0,332.0,84.0,333.0,2.5,0.0,9.549999999999978,9.625,486.5,12.2375,0.0,0.95,1
1620445330,2558.75,0.275,0.0,341.5,84.7,342.75,2.25,0.0,9.520000000000028,9.525,490.0,12.4875,0.0,0.95,1
1620445340,2652.75,0.1,0.0,351.0,83.2,352.0,3.25,0.0,9.519999999999982,9.4,483.3,12.4375,0.0,0.95,1
1620445350,2750.0,0.025,0.0,360.75,85.7,361.75,3.5,0.3,9.509999999999993,9.725,495.4,12.5125,0.0,0.975,1
1620445360,2843.0,0.025,0.0,370.0,83.4,371.0,3.0,0.2,9.520000000000028,9.3,484.9,12.575,0.0,0.925,1
1620445370,2943.25,0.025,0.0,379.75,86.1,380.75,1.25,0.0,9.529999999999973,10.025,496.7,12.625,0.0,0.975,1
1620445380,3033.25,0.15,0.0,389.0,83.0,390.25,2.75,0.0,9.55,9.0,481.9,12.575,0.0,0.925,1
1620445390,3130.75,0.0,0.0,398.75,82.0,399.75,2.75,0.0,9.580000000000018,9.75,470.5,12.0875,0.0,0.975,1
1620445400,3133.0,0.025,0.0,399.0,1.8,400.0,3.0,0.0,9.559999999999992,0.225,103.9,6.0,0.0,0.025,1
1620445410,3133.0,0.0,0.0,399.0,0.0,400.0,3.0,0.0,9.55,0.0,99.8,0.1125,0.0,0.0,1
1620445420,3133.0,0.0,0.0,399.0,0.9,400.0,3.0,0.0,9.54000000000001,0.0,99.1,0.0,0.0,0.0,1
1620445430,3275.25,22.3,0.0,401.75,96.1,402.75,226.0,0.5,9.55,14.225,634.7,10.5375,0.0,0.275,1
1620445440,3562.75,22.3,0.0,408.25,179.3,409.5,18.25,0.5,9.519999999999982,28.75,1093.9,30.0,0.0,0.65,1
1620445450,3706.0,22.3,0.0,418.0,87.0,419.0,1.5,0.5,9.53000000000002,14.325,502.9,25.9875,0.0,0.975,1
1620445460,3801.0,0.175,0.0,427.75,83.7,428.75,3.25,0.0,9.519999999999982,9.5,481.0,12.5875,0.0,0.975,1
1620445470,3896.0,0.175,0.0,437.0,80.9,438.0,1.5,0.5,9.53000000000002,9.5,470.9,12.0,0.0,0.925,1
1620445480,3993.5,0.35,0.0,446.75,83.5,447.75,5.0,0.5,9.519999999999982,9.75,479.7,12.0,0.0,0.975,1
1620445490,4086.0,0.35,0.0,456.0,80.5,457.25,3.75,0.5,9.5,9.25,468.8,11.9375,0.0,0.925,1
1620445500,4183.5,0.125,0.0,465.75,83.2,467.0,5.0,0.5,9.510000000000035,9.75,477.3,11.9,0.0,0.975,1
1620445510,4276.0,0.125,0.0,475.0,80.2,476.25,3.75,0.3,9.539999999999964,9.25,469.3,11.875,0.0,0.925,1
1620445520,4373.5,0.125,0.0,484.75,83.5,486.0,5.0,0.3,9.53000000000002,9.75,479.7,11.9125,0.0,0.975,1
1620445530,4466.0,0.125,0.0,494.0,80.6,495.25,3.75,0.0,9.53000000000002,9.25,466.9,11.9375,0.0,0.925,1
1620445540,4566.0,0.125,0.0,504.0,82.0,505.0,0.0,0.0,9.580000000000018,10.0,469.3,11.6875,0.0,1.0,1
1620445550,4661.0,0.375,0.0,513.5,82.9,514.75,3.75,0.0,9.569999999999984,9.5,478.9,11.875,0.0,0.95,1
1620445560,4756.0,0.125,0.0,523.0,80.6,524.0,5.0,0.1,9.55,9.5,466.4,11.8875,0.0,0.95,1
1620445570,4851.0,0.125,0.0,532.5,83.0,533.75,3.75,0.1,9.539999999999964,9.5,479.2,11.875,0.0,0.95,1
1620445580,4946.0,0.125,0.0,542.0,80.8,543.0,5.0,0.0,9.53000000000002,9.5,468.0,11.925,0.0,0.95,1
1620445590,5041.0,0.125,0.0,551.5,82.4,552.75,3.75,0.0,9.539999999999964,9.5,475.8,11.875,0.0,0.95,1
1620445600,5138.5,0.125,0.0,560.75,82.8,562.0,0.0,0.0,9.510000000000035,9.75,481.5,12.175,0.0,0.925,1
1620445610,5231.0,0.375,0.0,570.0,81.2,571.5,3.75,0.0,9.519999999999982,9.25,473.5,12.1125,0.0,0.925,1
1620445620,5328.5,0.125,0.0,579.75,80.9,580.75,5.0,0.8,9.519999999999982,9.75,469.9,11.7375,0.0,0.975,1
1620445630,5423.0,0.125,0.0,589.0,80.9,590.0,3.0,0.8,9.540000000000054,9.45,467.9,11.75,0.0,0.925,1
1620445640,5521.0,0.075,0.0,598.5,85.9,600.0,3.75,0.0,9.509999999999945,9.8,495.2,12.3625,0.0,0.95,1
1620445650,5616.0,0.075,0.0,608.0,81.9,609.0,1.75,0.7,9.520000000000072,9.5,475.1,12.3875,0.0,0.95,1
1620445660,5711.0,0.325,0.0,617.5,82.1,618.5,5.0,0.7,9.559999999999944,9.5,475.1,12.0,0.0,0.95,1
1620445670,5805.25,0.0,0.0,626.75,81.3,627.75,5.0,0.0,9.55,9.425,472.6,12.025,0.0,0.925,1
1620445680,5901.0,0.0,0.0,636.0,81.5,637.0,3.75,0.4,9.560000000000036,9.575,474.8,12.0125,0.0,0.925,1
1620445690,5996.0,0.125,0.0,645.5,81.4,646.75,5.0,0.2,9.55,9.5,470.7,11.8875,0.0,0.95,1
1620445700,6093.5,0.125,0.0,654.75,82.7,656.0,4.0,0.2,9.569999999999984,9.75,482.3,12.0125,0.0,0.925,1
1620445710,6186.0,0.125,0.0,664.0,80.2,665.25,3.75,0.2,9.55,9.25,466.8,12.05,0.0,0.925,1
1620445720,6286.0,0.05,0.0,673.5,82.7,674.5,4.25,0.5,9.519999999999982,10.0,479.1,12.0,0.0,0.95,1
1620445730,6378.5,0.075,0.0,682.75,80.5,684.0,5.0,0.5,9.53000000000002,9.25,466.7,11.9625,0.0,0.925,1
1620445740,6475.25,0.075,0.0,692.0,82.3,693.0,3.25,0.6,9.519999999999982,9.675,480.9,12.0125,0.0,0.925,1
1620445750,6570.25,0.175,0.0,701.0,81.3,702.25,5.0,0.6,9.519999999999982,9.5,474.0,12.2375,0.0,0.9,1
1620445760,6666.0,0.0,0.0,710.5,80.8,711.5,5.0,0.1,9.5,9.575,467.1,11.9375,0.0,0.95,1
1620445770,6763.5,0.0,0.0,719.75,82.1,720.75,3.75,0.1,9.510000000000035,9.75,477.7,11.95,0.0,0.925,1
1620445780,6856.0,0.125,0.0,729.0,78.3,730.0,5.0,0.5,9.5,9.25,456.7,11.7375,0.0,0.925,1
1620445790,6951.0,0.0,0.0,738.0,83.1,739.5,5.0,0.5,9.5,9.5,487.1,11.9125,0.0,0.9,1
1620445800,7045.5,0.075,0.0,747.5,81.8,748.5,5.75,0.2,9.519999999999982,9.45,475.5,12.2875,0.0,0.95,1
1620445810,7143.5,0.075,0.0,756.75,80.5,757.75,3.75,0.2,9.519999999999982,9.8,466.7,11.9,0.0,0.925,1
1620445820,7238.5,0.125,0.0,766.0,81.1,767.0,5.0,0.0,9.570000000000071,9.5,471.3,11.8875,0.0,0.925,1
1620445830,7331.25,0.075,0.0,775.0,80.9,776.0,5.75,0.4,9.539999999999964,9.275,475.4,12.025,0.0,0.9,1
1620445840,7431.0,0.075,0.0,784.5,82.5,785.5,5.0,0.4,9.55,9.975,475.9,12.0875,0.0,0.95,1
1620445850,7526.0,0.075,0.0,793.75,81.9,794.75,3.75,0.0,9.560000000000036,9.5,477.9,12.125,0.0,0.925,1
1620445860,7581.0,0.125,0.0,799.0,43.1,800.0,5.0,0.0,9.559999999999944,5.5,291.1,9.1125,0.0,0.525,1
1620445870,7581.0,0.0,0.0,799.0,0.0,800.0,5.0,0.0,9.540000000000054,0.0,101.3,3.0375,0.0,0.0,1
1620445880,7581.0,0.0,0.0,799.0,0.0,800.0,5.0,0.0,9.539999999999964,0.0,98.3,0.0,0.0,0.0,1
1620445890,7581.0,0.0,0.0,799.0,1.7,800.0,5.0,0.5,9.510000000000035,0.0,103.6,0.0,0.0,0.0,1
1620445900,7748.0,25.375,0.0,804.75,111.8,805.75,258.75,0.5,9.519999999999982,16.7,695.3,11.25,0.0,0.575,1
1620445910,7920.5,25.375,0.0,812.0,118.0,813.0,181.75,0.5,9.509999999999945,17.25,717.2,22.7125,0.0,0.725,1
1620445920,8088.5,25.375,0.0,819.0,118.1,820.0,93.75,0.5,9.490000000000055,16.8,721.7,23.0625,0.0,0.7,1
1620445930,8269.75,25.375,0.0,825.25,114.2,826.25,18.0,0.5,9.53000000000002,18.125,706.0,23.0875,0.0,0.625,1
1620445940,8386.0,25.375,0.0,834.5,84.9,835.5,5.0,0.2,9.519999999999982,11.625,497.3,17.925,0.0,0.925,1
1620445950,8481.0,0.0,0.0,843.5,81.1,844.75,5.0,0.1,9.519999999999982,9.5,473.0,12.5125,0.0,0.9,1
1620445960,8576.0,0.0,0.0,852.75,81.1,853.75,5.0,0.1,9.519999999999982,9.5,471.8,12.1,0.0,0.925,1
1620445970,8671.0,0.0,0.0,861.75,80.3,862.75,5.0,0.0,9.53000000000002,9.5,469.2,12.0,0.0,0.9,1
1620445980,8766.0,0.0,0.0,870.5,80.0,871.75,5.0,0.0,9.55,9.5,468.9,11.9375,0.0,0.875,1
1620445990,8861.0,0.0,0.0,879.75,80.6,880.75,5.0,0.2,9.579999999999927,9.5,473.4,11.9875,0.0,0.925,1
1620446000,8956.75,0.325,0.0,888.75,81.5,889.75,8.25,0.2,9.55,9.575,476.9,12.15,0.0,0.9,1
1620446010,9054.75,0.325,0.0,897.5,81.1,899.0,5.0,0.0,9.570000000000071,9.8,476.0,12.225,0.0,0.875,1
1620446020,9151.0,0.325,0.0,906.5,77.2,907.75,3.75,0.3,9.55,9.625,453.6,11.775,0.0,0.9,1
1620446030,9246.0,0.0,0.0,915.5,80.6,916.5,3.75,0.3,9.539999999999964,9.5,471.9,11.7125,0.0,0.9,1
1620446040,9341.75,0.425,0.0,924.5,79.7,925.5,8.0,0.4,9.53000000000011,9.575,466.0,11.95,0.0,0.9,1
1620446050,9436.0,0.425,0.0,933.5,81.9,934.5,5.0,0.0,9.5,9.425,480.9,12.1,0.0,0.9,1
1620446060,9534.75,0.425,0.0,942.5,81.1,943.5,4.25,0.0,9.519999999999891,9.875,473.5,12.2625,0.0,0.9,1
1620446070,9630.25,0.425,0.0,951.5,80.8,952.75,3.75,0.0,9.5,9.55,473.7,12.125,0.0,0.9,1
1620446080,9726.0,0.0,0.0,960.5,80.2,961.75,3.75,0.1,9.489999999999965,9.575,471.3,12.025,0.0,0.9,1
1620446090,9821.0,0.0,0.0,969.5,79.9,970.75,3.75,0.0,9.490000000000146,9.5,469.0,11.9125,0.0,0.9,1
1620446100,9916.0,0.0,0.0,978.5,80.4,979.75,3.75,0.0,9.509999999999854,9.5,470.4,11.9375,0.0,0.9,1
1620446110,10011.0,0.0,0.0,987.5,80.0,988.75,3.75,0.0,9.510000000000035,9.5,467.2,11.95,0.0,0.9,1
1620446120,10106.0,0.35,0.0,996.5,81.1,997.75,7.25,0.0,9.53000000000011,9.5,473.6,12.0375,0.0,0.9,1
1620446130,10206.0,0.35,0.0,1006.0,83.7,1007.0,5.0,0.0,9.509999999999854,10.0,485.5,12.3125,0.0,0.95,1
1620446140,10298.5,0.1,0.0,1015.0,80.1,1016.0,6.0,0.0,9.520000000000072,9.25,469.7,12.1875,0.0,0.9,1
1620446150,10394.0,0.1,0.0,1023.5,80.8,1025.0,5.75,0.1,9.570000000000071,9.55,474.8,12.1125,0.0,0.85,1
1620446160,10486.0,0.125,0.0,1032.5,78.9,1034.0,7.0,0.1,9.5,9.2,460.1,11.9875,0.0,0.9,1
1620446170,1268.0,0.225,0.0,221.5,83.8,221.75,3.25,0.4,5.269999999999993,9.3,482.8,12.0375,0.0,0.95,2
1620446180,1362.5,0.025,0.0,231.0,84.6,231.5,3.5,0.0,5.740000000000009,9.45,490.1,12.45,0.0,0.95,2
1620446190,1460.75,0.025,0.0,240.75,84.5,240.75,2.75,0.0,6.170000000000004,9.825,487.5,12.5375,0.0,0.975,2
1620446200,1552.0,0.1,0.0,250.25,84.5,250.5,3.75,0.0,6.6199999999999815,9.125,488.6,12.475,0.0,0.95,2
1620446210,1650.25,0.1,0.0,259.75,83.8,259.75,3.25,0.6,7.060000000000014,9.825,487.0,12.475,0.0,0.95,2
1620446220,1748.25,0.1,0.0,269.5,86.3,269.5,2.75,0.6,7.6299999999999955,9.8,497.2,12.65,0.0,0.975,2
1620446230,1840.75,0.0,0.0,278.75,83.6,279.0,2.75,0.6,8.570000000000004,9.25,486.6,12.675,0.0,0.925,2
1620446240,1937.0,0.05,0.0,288.5,85.5,288.75,3.25,0.0,9.529999999999996,9.625,491.7,12.5625,0.0,0.975,2
1620446250,2030.0,0.05,0.0,297.75,83.4,297.75,2.5,0.4,9.509999999999993,9.3,487.3,12.55,0.0,0.925,2
