time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620430590,1100.5,0.55,0.0,194.25,66.8,195.25,5.5,0.0,3.690000000000009,9.45,447.6,5.9875,0.0,0.525,1
1620430600,1276.0,0.25,0.0,203.75,134.0,204.75,8.0,2.7,4.9,17.55,879.0,18.425,0.0,0.95,1
1620430610,1458.25,0.075,0.0,213.0,128.5,214.25,8.75,2.7,6.269999999999993,18.225,840.5,24.3375,0.0,0.925,1
1620430620,1643.0,0.125,0.0,222.25,127.1,223.25,10.0,2.7,7.539999999999997,18.475,830.6,23.675,0.0,0.925,1
1620430630,1823.5,0.125,0.0,231.25,126.5,232.25,9.5,0.0,8.810000000000013,18.05,835.1,23.525,0.0,0.9,1
1620430640,2002.75,0.025,0.0,240.25,126.9,241.25,9.75,0.0,10.2,17.925,836.5,23.5625,0.0,0.9,1
1620430650,2183.75,0.4,0.0,249.25,128.9,250.25,13.75,1.6,11.45,18.1,853.1,23.8625,0.0,0.9,1
1620430660,2363.5,0.4,0.0,258.25,129.9,259.5,11.75,1.6,12.85,17.975,851.1,24.2125,0.0,0.9,1
1620430670,2524.6666666666665,0.225,0.0,266.3333333333333,129.9,267.6666666666667,14.0,0.3,14.45,16.116666666666653,851.1,24.2125,0.0,0.8083333333333315,1
1620430680,2685.0,0.225,0.0,274.25,767.1,275.5,11.75,0.3,21.289999999999985,16.03333333333335,4289.2,37.15,0.0,0.7916666666666685,1
1620430690,2864.5,0.225,0.0,283.25,127.5,284.75,11.5,1.0,18.1,17.95,841.1,36.8125,0.0,0.9,1
1620430700,3053.75,0.225,0.0,292.75,127.8,293.75,13.75,0.0,18.200000000000024,18.925,836.7,23.6,0.0,0.95,1
1620430710,3237.25,0.225,0.0,302.0,131.0,303.0,10.75,1.0,18.15,18.35,861.0,23.9875,0.0,0.925,1
1620430720,3409.0,0.125,0.0,311.0,128.8,312.25,12.0,1.0,18.15999999999999,17.175,846.7,24.175,0.0,0.9,1
1620430730,3593.75,0.35,0.0,320.25,130.5,321.75,15.5,0.1,18.140000000000008,18.475,853.8,24.1625,0.0,0.925,1
1620430740,3743.0,0.35,0.0,327.6666666666667,130.5,329.3333333333333,14.333333333333334,0.1,18.17999999999997,14.925,853.8,32.17083333333335,0.0,0.7416666666666686,1
1620430750,3919.0,0.0416666666666666,0.0,336.5,850.7,337.5,14.75,1.0,18.2,17.6,4735.3,21.8,0.0,0.8833333333333314,1
1620430760,4099.0,0.175,0.0,345.5,128.7,346.5,16.5,1.0,18.15999999999999,18.0,845.1,13.866666666666651,0.0,0.9,1
1620430770,4278.75,0.175,0.0,354.5,127.1,355.75,15.0,0.4,18.130000000000017,17.975,836.5,23.8625,0.0,0.9,1
1620430780,4458.75,0.1,0.0,363.5,129.2,364.75,16.0,0.3,18.109999999999992,18.0,852.0,23.925,0.0,0.9,1
1620430790,4644.0,0.1,0.0,372.75,129.0,373.75,14.25,0.3,18.1,18.525,843.3,24.075,0.0,0.925,1
1620430800,4824.0,0.025,0.0,381.75,129.0,382.75,14.5,0.5,18.130000000000017,18.0,849.6,24.05,0.0,0.9,1
1620430810,5003.25,0.025,0.0,390.75,129.3,391.75,14.75,0.5,18.14999999999996,17.925,850.0,24.1875,0.0,0.9,1
1620430820,5159.0,0.15,0.0,398.5,109.1,399.5,16.25,0.0,18.110000000000035,15.575,744.7,22.275,0.0,0.775,1
1620430830,5168.0,0.0,0.0,399.0,5.4,400.0,16.25,0.0,18.16999999999998,0.9,211.0,10.6125,0.0,0.05,1
1620430840,5168.0,0.0,0.0,399.0,0.0,400.0,16.25,0.0,18.119999999999983,0.0,186.3,0.45,0.0,0.0,1
1620430850,5168.0,0.0,0.0,399.0,4.6,400.0,16.25,0.0,18.1,0.0,206.0,0.4375,0.0,0.0,1
1620430860,5302.75,60.475,0.0,403.75,84.9,404.75,621.0,2.8,18.1,13.475,630.2,8.6625,0.0,0.475,1
1620430870,5507.25,60.475,0.0,412.0,147.3,413.0,587.0,2.8,18.15,20.45,968.3,22.95,0.0,0.825,1
1620430880,5722.5,60.475,0.0,420.25,139.8,421.5,560.5,2.8,18.180000000000017,21.525,920.2,28.475,0.0,0.825,1
1620430890,5940.5,60.475,0.0,428.5,141.9,429.5,532.75,0.0,18.16999999999998,21.8,936.8,27.8,0.0,0.825,1
1620430900,6145.25,60.475,0.0,436.5,139.4,437.5,513.25,0.8,18.170000000000076,20.475,924.5,27.875,0.0,0.8,1
1620430910,6332.5,60.475,0.0,444.5,133.3,445.5,506.0,0.5,18.15,18.725,888.8,26.875,0.0,0.8,1
1620430920,6523.75,60.475,0.0,452.5,135.0,453.5,494.25,1.7,18.159999999999947,19.125,899.3,26.3125,0.0,0.8,1
1620430930,6729.0,60.475,0.0,460.5,134.9,461.5,471.25,1.7,18.130000000000017,20.525,898.4,26.5375,0.0,0.8,1
1620430940,6932.5,60.475,0.0,468.5,138.4,469.5,454.75,1.7,18.15,20.35,913.9,26.9875,0.0,0.8,1
1620430950,7127.25,60.475,0.0,476.5,132.1,477.5,443.75,1.7,18.16999999999998,19.475,877.1,26.6375,0.0,0.8,1
1620430960,7313.0,60.475,0.0,483.5,131.3,484.75,431.75,2.0,18.2,18.575,888.6,26.1375,0.0,0.7,1
1620430970,7499.5,60.475,0.0,491.5,127.0,492.5,424.25,1.1,18.16999999999998,18.65,854.9,25.5,0.0,0.8,1
1620430980,7681.25,60.475,0.0,499.25,144.0,500.25,423.5,1.1,18.120000000000072,18.175,952.2,26.8125,0.0,0.775,1
1620430990,7871.75,60.475,0.0,506.25,136.4,507.5,409.5,1.1,18.159999999999947,19.05,911.1,28.3875,0.0,0.7,1
1620431000,8060.75,60.475,0.0,514.5,126.2,515.5,406.5,0.9,18.130000000000017,18.9,844.5,25.9625,0.0,0.825,1
1620431010,8250.5,0.225,0.0,522.75,131.3,523.75,408.75,0.5,18.18999999999996,18.975,873.0,24.7875,0.0,0.825,1
1620431020,8427.5,0.225,0.0,530.0,125.6,531.0,406.5,0.5,18.2,17.7,852.9,25.15,0.0,0.725,1
1620431030,8635.5,0.225,0.0,537.75,130.2,538.75,395.0,0.2,18.180000000000017,20.8,866.2,25.25,0.0,0.775,1
1620431040,8807.0,0.45,0.0,546.0,128.9,547.25,399.5,0.2,18.159999999999947,17.15,854.9,25.1375,0.0,0.825,1
1620431050,8976.25,0.75,0.0,554.25,121.0,555.5,407.0,0.2,18.16000000000004,16.925,812.3,23.7375,0.0,0.825,1
1620431060,9139.75,1.975,0.0,562.75,120.0,563.75,426.75,0.2,18.15,16.35,802.9,22.6375,0.0,0.85,1
1620431070,9294.0,2.025,0.0,570.75,116.5,572.0,447.0,1.0,18.15,15.425,784.7,22.1875,0.0,0.8,1
1620431080,9451.5,1.6,0.0,577.0,120.1,578.25,463.0,1.0,18.2,15.75,826.5,23.1125,0.0,0.625,1
1620431090,9644.75,0.85,0.0,584.75,113.8,585.75,471.5,2.0,18.18000000000011,19.325,781.9,22.9375,0.0,0.775,1
1620431100,9803.0,3.0,0.0,593.0,114.6,594.0,501.5,0.7,18.18999999999996,15.825,772.1,21.3375,0.0,0.825,1
1620431110,9957.0,0.825,0.0,600.0,104.9,601.0,509.75,0.7,18.16999999999989,15.4,724.2,20.6125,0.0,0.7,1
1620431120,1295.0,0.025,0.0,175.5,125.8,175.75,5.25,0.4,5.670000000000004,18.7,818.5,18.95,0.0,0.975,2
1620431130,1472.25,0.35,0.0,184.75,125.6,185.0,8.75,0.1,6.960000000000003,17.725,824.0,22.875,0.0,0.925,2
1620431140,1660.25,0.35,0.0,194.5,126.5,194.5,8.25,0.7,8.309999999999992,18.8,831.3,23.0,0.0,0.975,2
1620431150,1839.25,0.35,0.0,203.5,129.3,203.5,6.75,0.2,11.710000000000012,17.9,851.6,23.6,0.0,0.9,2
1620431160,2018.0,0.125,0.0,212.5,127.3,212.5,8.0,0.5,11.009999999999993,17.875,838.9,23.95,0.0,0.9,2
1620431170,2198.5,0.125,0.0,221.5,127.8,222.0,7.5,0.5,12.4,18.05,835.5,23.725,0.0,0.9,2
1620431180,2383.0,0.05,0.0,230.75,127.0,231.0,8.0,0.7,13.740000000000007,18.45,834.2,23.575,0.0,0.925,2
1620431190,2567.5,0.075,0.0,240.0,126.1,240.0,8.75,0.0,15.3,18.45,835.6,23.375,0.0,0.925,2
1620431200,2747.25,0.075,0.0,249.0,127.6,249.0,8.0,0.4,17.1,17.975,839.8,23.5625,0.0,0.9,2
1620431210,2928.25,0.125,0.0,258.0,127.9,258.25,9.25,0.4,18.24000000000001,18.1,836.9,23.8,0.0,0.9,2
1620431220,3114.0,0.125,0.0,267.25,127.5,267.5,9.0,0.4,18.079999999999973,18.575,836.1,23.7125,0.0,0.925,2
1620431230,3294.75,0.025,0.0,276.25,128.5,276.5,9.25,0.9,18.180000000000017,18.075,847.6,23.7625,0.0,0.9,2
1620431240,3479.0,0.125,0.0,285.5,128.4,285.5,10.5,0.9,18.119999999999983,18.425,843.1,23.925,0.0,0.925,2
1620431250,3659.75,0.125,0.0,294.5,126.7,294.5,7.5,1.0,8.840000000000009,18.075,836.6,23.7375,0.0,0.9,2
1620431260,3836.0,0.3,0.0,303.25,126.1,303.25,10.5,0.0,17.71999999999998,17.625,833.4,23.5875,0.0,0.875,2
1620431270,4024.75,0.4,0.0,312.25,128.2,312.5,14.5,0.0,17.65,18.875,842.9,23.775,0.0,0.9,2
1620431280,4204.75,0.4,0.0,321.25,127.8,321.5,12.25,0.1,17.660000000000036,18.0,838.2,23.825,0.0,0.9,2
1620431290,4388.25,0.4,0.0,330.5,126.7,330.5,11.75,0.3,17.7,18.35,838.3,23.6375,0.0,0.925,2
