time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1631578390,1258.0,1.225,0.0,361.75,278.0,362.0,10.0,1.9,4.560000000000002,17.05,2072.3,14.65625,0.0,0.9125,1
1631578400,1422.5,1.225,0.0,370.875,277.0,371.5,9.125,1.9,5.910000000000002,16.45,2055.0,19.1,0.0,0.9125,1
1631578410,1584.625,0.35,0.0,379.875,273.5,380.375,12.625,0.0,7.240000000000009,16.2125,2045.1,18.8875,0.0,0.9,1
1631578420,1759.5,0.35,0.0,389.5,278.6,389.5,11.625,2.8,8.639999999999986,17.4875,2064.5,18.78125,0.0,0.9625,1
1631578430,1920.625,0.075,0.0,398.375,275.3,398.5,12.375,2.8,10.029999999999996,16.1125,2061.8,19.0,0.0,0.8875,1
1631578440,2083.5,0.1875,0.0,406.875,273.7,407.375,14.25,2.8,11.39000000000001,16.2875,2070.3,19.375,0.0,0.85,1
1631578450,2250.875,0.1875,0.0,415.75,272.6,416.25,13.25,1.1,12.79000000000001,16.7375,2060.5,19.28125,0.0,0.8875,1
1631578460,2416.0,0.6,0.0,424.5,264.9,424.75,19.25,1.1,14.45,16.5125,2010.2,18.7625,0.0,0.875,1
1631578470,2587.625,0.6,0.0,433.5,275.8,433.625,18.25,0.0,16.119999999999983,17.1625,2077.6,18.85625,0.0,0.9,1
1631578480,2748.75,0.6,0.0,442.0,271.5,442.5,16.125,0.0,16.640000000000008,16.1125,2057.3,19.29375,0.0,0.85,1
1631578490,2917.625,0.225,0.0,450.5,270.1,450.75,18.375,0.9,16.569999999999983,16.8875,2059.3,19.3875,0.0,0.85,1
1631578500,3083.875,0.225,0.0,459.25,274.6,459.5,16.875,0.3,16.58000000000002,16.625,2079.8,19.3625,0.0,0.875,1
1631578510,3246.875,0.225,0.0,467.5,261.4,467.875,19.125,0.3,16.619999999999983,16.3,2013.0,19.0,0.0,0.825,1
1631578520,3417.75,0.225,0.0,476.375,273.3,476.5,17.75,1.2,16.55,17.0875,2045.7,18.85,0.0,0.8875,1
1631578530,3581.25,0.0625,0.0,484.75,263.7,485.0,18.375,1.2,16.59000000000001,16.35,2031.4,18.91875,0.0,0.8375,1
1631578540,3750.625,0.025,0.0,493.5,269.6,493.5,18.625,1.0,16.59000000000001,16.9375,2032.9,18.875,0.0,0.875,1
1631578550,3911.5,0.1625,0.0,501.875,268.0,501.875,20.25,1.0,16.619999999999983,16.0875,2059.1,19.075,0.0,0.8375,1
1631578560,4081.25,0.1625,0.0,510.25,270.3,510.5,16.125,1.0,16.6,16.975,2064.3,19.24375,0.0,0.8375,1
1631578570,4243.75,0.25,0.0,519.0,274.8,519.25,18.625,1.0,16.58000000000002,16.25,2076.1,19.5,0.0,0.875,1
1631578580,4417.25,0.25,0.0,527.5,268.9,527.625,17.25,0.4,16.59000000000001,17.35,2045.6,19.475,0.0,0.85,1
1631578590,4582.5,0.125,0.0,535.75,265.4,536.0,18.5,2.2,16.55999999999999,16.525,2052.0,19.1625,0.0,0.825,1
1631578600,4748.0,0.125,0.0,544.0,273.1,544.5,18.0,2.2,16.58000000000002,16.55,2078.4,19.55,0.0,0.825,1
1631578610,4916.875,0.0,0.0,552.5,265.4,552.625,18.0,0.9,16.639999999999965,16.8875,2023.2,19.43125,0.0,0.85,1
1631578620,5081.5,0.15,0.0,560.75,273.0,560.875,19.5,1.2,16.66999999999998,16.4625,2098.5,19.4,0.0,0.825,1
1631578630,5254.875,0.15,0.0,569.375,274.2,569.5,16.75,1.2,16.65,17.3375,2088.8,19.79375,0.0,0.8625,1
1631578640,5419.5,0.225,0.0,577.625,265.4,577.875,19.0,1.7,16.660000000000036,16.4625,2051.8,19.425,0.0,0.825,1
1631578650,5584.0,0.0375,0.0,585.875,267.9,586.125,19.375,1.7,16.660000000000036,16.45,2043.4,19.31875,0.0,0.825,1
1631578660,5751.625,0.0375,0.0,594.25,269.6,594.625,18.0,1.7,16.639999999999965,16.7625,2064.1,19.43125,0.0,0.8375,1
1631578670,5916.125,0.0625,0.0,602.625,269.2,602.875,18.625,1.0,16.639999999999965,16.45,2053.7,19.44375,0.0,0.8375,1
