time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1631607000,1223.0,19.9,0.0,354.5,198.2,354.75,270.5,6.1,7.25,15.225,2679.2,13.6875,0.0,0.425,1
1631607010,1381.25,14.25,0.0,357.875,209.7,358.0,413.0,3.3,10.170000000000003,15.825,2718.9,19.0125,0.0,0.3375,1
1631607020,1540.25,16.3125,0.0,360.875,189.9,361.0,576.125,3.3,13.139999999999986,15.9,2624.8,19.53125,0.0,0.3,1
1631607030,1681.25,19.3875,0.0,365.375,194.7,365.625,770.0,4.1,16.010000000000012,14.1,2553.5,17.54375,0.0,0.45,1
1631607040,1840.25,18.0875,0.0,370.125,208.1,370.125,950.875,0.4,18.889999999999983,15.9,2640.4,17.36875,0.0,0.475,1
1631607050,1986.0,12.85,0.0,374.5,222.6,374.75,1079.375,0.4,21.620000000000005,14.575,2668.9,19.20625,0.0,0.4375,1
1631607060,2140.875,18.35,0.0,378.625,197.7,378.875,1262.875,0.4,24.600000000000023,15.4875,2610.2,19.0,0.0,0.4125,1
1631607070,2273.5,16.7125,0.0,382.25,185.3,382.625,1430.0,0.4,27.839999999999964,13.2625,2581.8,17.29375,0.0,0.3625,1
1631607080,2431.75,19.0875,0.0,386.25,191.1,386.5,1620.875,0.4,31.09000000000001,15.825,2570.8,17.0375,0.0,0.4,1
1631607090,2561.25,17.7125,0.0,390.25,200.4,390.625,1798.0,2.5,32.290000000000006,12.95,2703.3,17.7375,0.0,0.4,1
1631607100,2706.0,21.9875,0.0,394.25,179.4,394.625,2017.875,2.5,32.25,14.475,2552.4,16.81875,0.0,0.4,1
1631607110,2851.5,17.5,0.0,397.75,194.9,398.125,2192.875,2.5,32.34000000000001,14.55,2678.3,16.8875,0.0,0.35,1
1631607120,2990.625,22.0625,0.0,402.125,186.1,402.25,2413.5,4.4,32.42999999999997,13.9125,2586.5,17.23125,0.0,0.4375,1
1631607130,3115.75,19.4,0.0,406.25,185.9,406.5,2607.5,4.4,32.6,12.5125,2573.6,16.1875,0.0,0.4125,1
1631607140,3260.75,19.7125,0.0,411.125,199.4,411.25,2804.625,2.0,32.55,14.5,2594.1,16.44375,0.0,0.4875,1
1631607150,3390.25,20.55,0.0,415.25,178.0,415.25,3010.125,2.0,32.98000000000002,12.95,2563.0,15.98125,0.0,0.4125,1
1631607160,3522.5,19.2,0.0,419.0,183.8,419.125,3202.125,2.0,32.969999999999985,13.225,2564.6,15.925,0.0,0.375,1
1631607170,3650.5,19.7625,0.0,423.25,186.3,423.25,3399.75,2.0,32.99000000000005,12.8,2614.4,16.33125,0.0,0.425,1
1631607180,3784.75,20.5875,0.0,427.125,181.3,427.25,3605.625,1.5,33.17999999999993,13.425,2577.0,16.075,0.0,0.3875,1
1631607190,3903.125,20.6375,0.0,432.125,189.3,432.25,3812.0,3.5,32.9,11.8375,2517.3,15.5375,0.0,0.5,1
1631607200,4032.0,18.35,0.0,435.75,184.0,436.125,3995.5,3.5,32.91000000000004,12.8875,2560.8,15.85,0.0,0.3625,1
1631607210,4174.125,20.1375,0.0,440.125,184.5,440.25,4196.875,6.9,32.91000000000004,14.2125,2544.2,16.26875,0.0,0.4375,1
1631607220,4295.5,21.95,0.0,444.125,175.8,444.25,4416.375,6.9,32.8,12.1375,2503.3,15.5625,0.0,0.4,1
1631607230,4407.0,18.5625,0.0,448.375,172.1,448.5,4602.0,1.0,32.629999999999924,11.15,2453.0,14.76875,0.0,0.425,1
1631607240,4523.0,20.4375,0.0,452.5,181.3,453.0,4806.375,1.0,32.81000000000004,11.6,2514.6,14.93125,0.0,0.4125,1
1631607250,4635.0,21.375,0.0,457.5,177.7,458.0,5020.125,1.0,32.520000000000074,11.2,2446.4,14.6,0.0,0.5,1
1631607260,4759.0,21.125,0.0,462.125,174.8,462.25,5231.375,3.8,32.51999999999989,12.4,2435.4,13.8625,0.0,0.4625,1
1631607270,4884.0,16.7125,0.0,466.0,179.4,466.25,5398.5,3.8,32.48000000000011,12.5,2497.8,14.9,0.0,0.3875,1
1631607280,5006.0,21.3,0.0,469.5,176.2,469.75,5611.5,1.0,32.3,12.2,2548.2,15.9625,0.0,0.35,1
1631607290,5129.0,20.925,0.0,473.75,169.6,474.125,5820.75,1.0,32.4,12.3,2378.6,15.1,0.0,0.425,1
1631607300,5329.75,20.925,0.0,481.75,326.6,481.875,5670.25,2.1,29.259999999999856,20.075,1705.5,20.6,0.0,0.8,1
