time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1631585970,1229.0,3.0,0.0,354.375,261.3,354.5,40.25,2.3,4.25,16.45,2195.9,12.91875,0.0,0.7625,1
1631585980,1399.125,2.9125,0.0,362.375,282.7,362.5,69.375,2.3,5.980000000000007,17.0125,2331.0,20.725,0.0,0.8,1
1631585990,1580.5,1.925,0.0,370.5,288.2,370.5,88.625,2.8,7.599999999999989,18.1375,2366.6,22.00625,0.0,0.8125,1
1631586000,1734.0,4.95,0.0,378.25,275.6,378.625,138.125,0.2,6.940000000000009,15.35,2305.6,21.5625,0.0,0.775,1
1631586010,1899.0,4.1125,0.0,386.5,274.6,386.75,179.25,0.2,10.809999999999992,16.5,2272.6,20.7625,0.0,0.825,1
1631586020,2059.5,3.6875,0.0,394.5,275.7,395.0,216.125,0.2,12.5,16.05,2277.3,20.73125,0.0,0.8,1
1631586030,2224.875,5.1875,0.0,402.5,304.2,402.75,268.0,6.3,15.580000000000018,16.5375,2468.5,22.64375,0.0,0.8,1
1631586040,2392.25,3.325,0.0,410.5,283.4,410.75,301.25,6.3,17.55999999999999,16.7375,2326.2,23.1375,0.0,0.8,1
1631586050,2564.375,2.5125,0.0,418.5,284.8,418.875,326.375,6.3,18.35,17.2125,2340.3,21.90625,0.0,0.8,1
1631586060,2729.375,2.9375,0.0,426.25,274.2,426.625,355.75,0.3,16.980000000000018,16.5,2284.8,21.44375,0.0,0.775,1
1631586070,2921.125,0.1,0.0,432.375,269.3,432.75,356.75,0.7,19.55,19.175,2332.9,22.14375,0.0,0.6125,1
1631586080,3141.625,0.1,0.0,436.625,262.9,436.75,343.0,0.7,15.039999999999964,22.05,2398.7,24.56875,0.0,0.425,1
1631586090,3333.8571428571427,0.1,0.0,440.4285714285714,262.9,440.4285714285714,331.7142857142857,0.7,19.380000000000017,19.223214285714267,2398.7,13.25,0.0,0.3803571428571445,1
1631586100,3550.0,0.1,0.0,444.125,1542.9,444.25,311.625,0.0,21.859999999999992,21.61428571428573,9602.1,22.29375,0.0,0.3696428571428555,1
1631586110,3753.875,0.1,0.0,448.125,249.4,448.375,307.0,0.0,19.7,20.3875,2311.3,34.1,0.0,0.4,1
1631586120,3976.125,0.1,0.0,452.125,267.3,452.125,282.625,1.4,19.74000000000001,22.225,2416.9,25.5,0.0,0.4,1
1631586130,4163.5,0.1,0.0,455.875,248.9,456.25,272.0,2.8,19.680000000000017,18.7375,2326.5,25.5625,0.0,0.375,1
1631586140,4367.125,1.1375,0.0,460.375,241.6,460.875,283.375,2.8,19.72999999999997,20.3625,2243.9,23.43125,0.0,0.45,1
1631586150,4527.5,5.45,0.0,466.875,236.5,467.0,337.875,4.6,19.65,16.0375,2159.7,20.6375,0.0,0.65,1
1631586160,4718.5,1.375,0.0,471.875,256.8,472.0,351.625,0.1,23.620000000000022,19.1,2317.0,21.225,0.0,0.5,1
1631586170,4906.625,0.4625,0.0,475.75,242.7,476.0,356.25,0.1,19.93999999999996,18.8125,2276.9,23.675,0.0,0.3875,1
1631586180,5107.125,0.4625,0.0,479.75,247.7,480.125,356.0,0.1,24.41999999999998,20.05,2297.6,23.81875,0.0,0.4,1
1631586190,5323.0,0.5875,0.0,484.125,241.8,484.25,361.875,1.4,20.16000000000004,21.5875,2270.9,23.46875,0.0,0.4375,1
1631586200,5502.5,2.5,0.0,489.625,245.5,489.75,386.875,1.4,20.08000000000002,17.95,2216.0,22.19375,0.0,0.55,1
1631586210,5671.75,1.6875,0.0,494.375,234.4,494.375,403.75,9.9,20.05,16.925,2173.3,21.28125,0.0,0.475,1
1631586220,5865.125,0.5875,0.0,498.375,265.0,498.875,409.625,9.9,20.03000000000002,19.3375,2449.1,23.7625,0.0,0.4,1
1631586230,6076.875,0.5875,0.0,502.375,259.1,502.375,401.0,4.4,20.039999999999964,21.175,2393.0,25.95,0.0,0.4,1
1631586240,6270.0,0.5875,0.0,506.2857142857143,259.1,506.7142857142857,397.0,4.4,20.0,19.3125,2393.0,31.371428571428577,0.0,0.3910714285714277,1
1631586250,6459.875,1.1625,0.0,510.375,1761.4,510.375,408.625,7.4,20.01000000000004,18.9875,12167.9,22.65,0.0,0.4089285714285722,1
1631586260,6658.375,1.1625,0.0,515.125,251.5,515.25,407.0,7.4,20.039999999999964,19.85,2294.3,15.77857142857142,0.0,0.475,1
1631586270,6850.625,1.1625,0.0,519.0,247.6,519.0,398.0,4.5,20.039999999999964,19.225,2323.1,23.85,0.0,0.3875,1
1631586280,7050.375,1.0375,0.0,523.5,253.8,523.875,408.375,4.5,20.120000000000072,19.975,2313.9,24.11875,0.0,0.45,1
1631586290,7243.5,1.9625,0.0,528.25,234.9,528.5,428.0,2.2,20.16999999999998,19.3125,2197.2,22.6,0.0,0.475,1
1631586300,7443.0,0.9125,0.0,532.5,241.9,532.75,437.125,2.2,20.21999999999998,19.95,2262.5,22.225,0.0,0.425,1
1631586310,7643.375,0.9125,0.0,536.5,247.1,536.75,435.625,2.3,20.21999999999998,20.0375,2305.0,23.60625,0.0,0.4,1
1631586320,7839.875,0.9125,0.0,540.375,246.6,540.5,433.5,2.1,20.25,19.65,2283.7,24.11875,0.0,0.3875,1
1631586330,8041.375,0.9125,0.0,544.375,249.9,544.625,428.625,2.1,20.25,20.15,2350.3,24.31875,0.0,0.4,1
1631586340,8245.125,0.8625,0.0,548.625,234.1,548.75,437.25,0.3,20.25,20.375,2242.3,23.3,0.0,0.425,1
1631586350,8424.142857142857,0.5892857142857167,0.0,552.2857142857143,234.1,552.4285714285714,443.1428571428572,0.8,20.24000000000005,17.901785714285687,2242.3,31.65,0.0,0.3660714285714334,1
1631586360,8593.0,1.8857142857142832,0.0,556.125,2039.9,556.25,462.0,0.3,20.209999999999944,16.88571428571431,15076.3,21.11875,0.0,0.3839285714285665,1
1631586370,8777.75,0.45,0.0,560.125,236.6,560.25,466.5,0.3,20.130000000000017,18.475,2195.5,11.91875,0.0,0.4,1
1631586380,8973.0,2.7375,0.0,564.5,231.1,564.5,493.875,0.6,20.129999999999928,19.525,2230.9,22.15,0.0,0.4375,1
1631586390,9132.5,3.95,0.0,569.25,220.2,569.375,533.375,0.6,20.07000000000007,15.95,2126.3,20.45625,0.0,0.475,1
1631586400,9317.875,0.875,0.0,573.125,233.0,573.25,542.125,0.0,20.029999999999927,18.5375,2215.5,20.9,0.0,0.3875,1
1631586410,9493.125,3.0375,0.0,577.375,225.4,577.5,572.5,4.9,20.030000000000108,17.525,2156.5,21.69375,0.0,0.425,1
1631586420,9648.875,3.15,0.0,581.75,233.3,582.0,604.0,0.0,20.0,15.575,2202.1,21.26875,0.0,0.4375,1
1631586430,9857.0,1.0625,0.0,585.75,231.2,585.875,614.625,0.0,20.0,20.8125,2196.3,21.9,0.0,0.4,1
1631586440,10038.375,2.175,0.0,589.375,217.0,589.375,636.375,10.7,20.0,18.1375,2150.4,21.61875,0.0,0.3625,1
1631586450,10206.142857142857,1.348214285714289,0.0,593.0,217.0,593.0,649.8571428571429,10.7,20.0,16.776785714285687,2150.4,21.61875,0.0,0.3625,1
1631586460,10415.5,1.348214285714289,0.0,597.125,2937.3,597.125,590.5,5.3,19.75,20.93571428571431,21303.7,54.708035714285685,0.0,0.4125,1
1631586470,10676.125,1.348214285714289,0.0,603.625,358.3,604.0,326.875,5.3,17.829999999999927,26.0625,1830.8,60.94553571428569,0.0,0.65,1
